City,District,Area_m2,Rooms,Year_Built,Floor,Condition,Interest_Rate,Inflation,Market_Trend,Energy_Efficiency,Green_Access,Carbon_Footprint,Price_per_m2,Total_Price
Warszawa,Mokotów,148.48767390024125,4,1985,4,Nowe,4.7453292355592875,4.7138446221824895,Stabilny,B,4,Średni,16662.822110155244,2474223.695750462
Wrocław,Krzyki,132.7114022823706,2,1994,4,Nowe,2.1876994037977493,4.510181485989554,Spadkowy,B,8,Niski,11959.690813228295,1587187.3386871123
Gdańsk,Śródmieście,98.73101292528392,4,1956,9,Do remontu,7.448818467493676,9.306090213661863,Wzrostowy,D,5,Średni,11360.453395331011,1121629.0710115116
Warszawa,Śródmieście,69.39877120099274,1,1987,1,Nowe,5.8917442533128375,7.48029972992642,Wzrostowy,B,8,Niski,14865.457587585553,1031644.4899189114
Warszawa,Ursynów,128.7696902373017,4,2023,6,Po remoncie,7.481442878332529,6.955682928910927,Stabilny,A,5,Średni,15400.409333960537,1983105.9394617479
Poznań,Wilda,121.55162643467253,4,1978,8,Do remontu,4.58193509472939,4.745586752588263,Stabilny,C,8,Wysoki,10708.773048264313,1301668.7811363132
Gdańsk,Wrzeszcz,143.4976749064039,3,1970,12,Do remontu,2.0859402350694065,9.104097506013918,Spadkowy,B,2,Średni,11072.435897159243,1588868.8067925535
Kraków,Krowodrza,118.98334598038065,4,2014,12,Po remoncie,6.61442256460895,2.669748038317321,Wzrostowy,D,8,Niski,9800.233724112077,1166064.5998846216
Gdańsk,Przymorze,107.6962490767548,2,1982,11,Nowe,3.0088749575407663,2.890260095630966,Stabilny,C,7,Wysoki,10015.74284421374,1078657.9360391675
Kraków,Nowa Huta,125.32525340354728,4,1953,14,Nowe,6.241187227183827,6.606695874916764,Stabilny,B,4,Wysoki,12002.794116631954,1504253.214217506
Warszawa,Śródmieście,131.33863131866747,3,1966,6,Do remontu,4.361713980949103,7.749861812649257,Wzrostowy,C,1,Średni,12537.638596379766,1646676.2932166175
Kraków,Krowodrza,32.66063251037705,2,2001,1,Nowe,5.120758761739812,7.94282871333193,Stabilny,D,2,Średni,9854.752449102798,321862.44822088466
Warszawa,Bielany,74.22909439714135,1,1969,12,Po remoncie,4.452923954072534,2.699630041010197,Stabilny,D,2,Średni,13609.888341955539,1010249.6864695713
